No,Kategori Inventaris,Asset Name,Code,Serial Number,User,Username,Department,Condition,Date,Purchase Date,Updated By,Note
1,Laptop,MacBook Pro 13.3 5G/8C CPU/10C GPU/24GB/1TB-ITP,002-B/III/2023-1,KYT76W62Q4,Unknown,,Unknown,Good,2023-05-20,,IT Administrator,
2,Laptop,MacBook Air 2022 13.6 STL/8C GPU/8GB/256GB ITP,006-B/III/2023,NFJDGVX42C,Unknown,,Unknown,Good,2023-05-21,,IT Administrator,
3,Laptop,Dell XPS 13 7390 Touch I5 10210U 8GB 256ssd W10 13.3FHD,008-B/V/2021,D20Z8Y2,Unknown,,Unknown,Good,2023-05-22,2021-05-24,IT Administrator,Converter
4,Laptop,Dell XPS 13 7390 Touch I5 10210U 8GB 256ssd W10 13.3FHD,009-B/V/2021,H7WQYY2,Unknown,,Unknown,Good,2023-05-23,2021-05-24,IT Administrator,KEYBOARD DAN TOUCHPAD RUSAK
5,Laptop,Dell Inspiron 15 3521 - i3 - 4GB - Black,017-B/III/2023,BW551X1,Unknown,,Unknown,Good,2023-05-24,,IT Administrator,
"6,Laptop,""Macbook Pro 2020 13"""""",021-B/III/2023,C02DQ676ML85,Unknown,,Unknown,Good,2023-05-25,,IT Administrator,"
7,Laptop,Macbook Pro 13 Retina - i7 - 16GB,022-B/III/2023,C02MK1Q6FH05,Unknown,,Unknown,Good,2023-05-26,,IT Administrator,
8,Laptop,Dell Inspiron 3501 i5 Gen 11 - RAM 16GB - SSD 512 - 3005 - Black,019-B/VI/2021,H7XL0H3,Unknown,,Unknown,Good,2023-05-27,,IT Administrator,
9,Laptop,Dell Inspiron 3501 i5 Gen 11 - RAM 16GB - SSD 512 - 3005 - Black,020-B/VI/2021,2DX5KA01,Unknown,,Unknown,Good,2023-05-28,,IT Administrator,
10,Laptop,Dell Inspiron 3501 i5 Gen 11 - RAM 16GB - SSD 512 - 3005 - Black,003-B/VI/2022,F8XL0H3,Unknown,,Unknown,Good,2023-05-29,,IT Administrator,
11,Laptop,Macbook Pro 2019 - i7 RAM 16,005-B/VI/2022,C02DWF0CMD6M,Unknown,,Unknown,Good,2023-05-30,,IT Administrator,
12,Laptop,Dell XPS 13 7390 - I5 11210 8GB 256ssd W10 13.3FHD Touch Win,006-B/VI/2022,BX611J3,Unknown,,Unknown,Good,2023-05-31,2021-11-22,IT Administrator,
13,Laptop,Dell XPS 13 7390 - I5 11210 8GB 256ssd W10 13.3FHD Touch Win,010-B/VI/2022,3PKP0J3,Unknown,,Unknown,Good,2023-06-01,2021-11-22,IT Administrator,
14,Laptop,HP Pavilion 14-dv0517TX - RAM 16 GB,011-B/VI/2022,5CD1379VHX,Unknown,,Unknown,Good,2023-06-02,2022-02-11,IT Administrator,
15,Laptop,HP Pavilion 14-dv0517TX - RAM 16 GB,013-B/VI/2022,5CD1379VDD,Unknown,,Unknown,Good,2023-06-03,2022-02-11,IT Administrator,EX HILMAN TRUSWIKA
16,Printer,Epson L360,015-B/V/2023,X3GW517213,Unknown,,Unknown,Good,2026-08-24,,IT Administrator,
17,PC,Dell OptiPlex 3000,IT-PC-001,DL3000-8891,Unknown,,IT,Good,2026-09-14,2023-06-20,IT Administrator,Workstation admin server
18,Phone,Samsung Galaxy A54,IT-PH-001,R58T99887KL,Unknown,,Marketing,Good,2026-09-14,2024-01-10,IT Administrator,Untuk keperluan campaign
19,Printer,Epson L3250,IT-PR-001,X7Y2Z00012,Unknown,,Operations,Under Repair,2026-09-14,2021-11-05,IT Administrator,Sedang diperbaiki di service center
20,Phone,Xiaomi Redmi Note 12,IT-PH-002,XM12-445902,Unknown,,HR,Good,2026-09-14,2024-03-02,IT Administrator,Baru
21,PC,Lenovo ThinkCentre M70q,IT-PC-002,TC70Q-3391,Unknown,,Finance,Good,2026-09-14,2023-09-12,IT Administrator,Untuk input jurnal bulanan
22,Phone,Oppo A78,IT-PH-003,OPA78-7781,Unknown,,Operations > Base Padang > Unit Gunungsitoli,Fair,2026-09-14,2023-11-20,IT Administrator,Perangkat unit Gunung Sitoli
23,Phone,Samsung A04,IT-HP-009,QWERTY1234,Unknown,,Operations > Base Padang > Unit Tello,Good,2026-09-14,,IT Administrator,
24,Laptop,Dell Vostro 3405 AMD R5 - 512GB - 8GB RAM,017-B/VI/2022,5GLGYH3,Unknown,,Unknown,Good,2023-06-04,2022-09-02,IT Administrator,EX GOJO
25,Laptop,Dell Vostro 3405 AMD R5 - 512GB - 8GB RAM,026-B/III/2023,5NVJHK3,Unknown,,Unknown,Under Repair,2023-06-05,2023-06-24,IT Administrator,
26,Laptop,Dell Vostro 3405 AMD R5 - 512GB - 8GB RAM,018-B/VI/2022,DXQDYH3,Unknown,,Unknown,Good,2023-06-06,2022-09-02,IT Administrator,
27,Laptop,Dell Vostro 3405 AMD R5 - 512GB - 8GB RAM,019-B/VI/2022,CNMCYH3,Unknown,,Unknown,Good,2023-06-07,2022-09-02,IT Administrator,
28,Laptop,Dell Vostro 3405 AMD R5 - 512GB - 8GB RAM,022-B/VI/2022,G37GYH3,Unknown,,Unknown,Good,2023-06-08,2022-10-14,IT Administrator,
29,Laptop,Dell Vostro 3405 AMD R5 - 512GB - 8GB RAM,023-B/VI/2022,HK2CYH3,Unknown,,Unknown,Good,2023-06-09,2022-10-14,IT Administrator,
