"No.","Location","Detail","Internet ID","Service","Bandwidth (Mbps)","Customer Name","Monthly Cost","Payment Method"
"1","Dabo","Kantor and mess crew","111659100834","Indihome","20","PT ASI Pudjiastuti A","363250","Virtual Account"
"2","Dabo","Mess","111659102506","Indibiz","50","PT ASI Pudjiastuti A","","Virtual Account"
"3","Halim","Lantai 1","121112234693","Indihome","300","PT ASI Pudjiastuti A","1667500","Virtual Account"
"4","Halim","Lantai 3 (Rumah Ibu)","121112299470","Indihome","300","PT ASI Pudjiastuti A","1723000","Virtual Account"
"5","Malinau","Bandara","162503300860","Indihome","20","PT ASI Pudjiastuti A","296650","Virtual Account"
"6","Malinau","Mess Pilot","162503200232","Indihome","20","PT ASI Pudjiastuti A","385450","Virtual Account"
"7","Manokwari","Mess Pilot","172926212418","Indihome","20","PT ASI Pudjiastuti A","385450","Virtual Account"
"8","Masamba","Kantor","172816801203","WMS","","PT ASI Pudjiastuti A","374350","Virtual Account"
"9","Masamba","Mess Pilot","172816801098","WMS","","PT ASI Pudjiastuti A","555280","Virtual Account"
"10","Merauke","Kantor","172917202482","WMS","","PT ASI Pudjiastuti A","263350","Virtual Account"
"11","Merauke","Mess Pilot new","172917229838","Indihome","50","Astria Sarman","424300","Manual Transfer"
"12","Padang","Kantor-Mess engineer","111407111907","Indihome","20","Susi Air Padang","385450","Virtual Account"
"13","Pangandaran","Mess SF","131430109352","Indihome","20","PT ASI Pudjiastuti A","385450","Virtual Account"
"14","Pangandaran","Gedung Nadine","131430109936","Indihome","100","PT ASI Pudjiastuti A","1018150","Virtual Account"
"15","Pangandaran","Rumah Depan","131430109313","Indihome","100","PT ASI Pudjiastuti A","1018150","Virtual Account"
"16","Pangandaran","Hilman Cafe","131430110066","Indihome","20","PT ASI Pudjiastuti A","385450","Virtual Account"
"17","Pangandaran","Uyeng","131430112198","Indihome","20","PT ASI Pudjiastuti A","385450","Virtual Account"
"18","Pangandaran","Lantai 1 Hotel Harriet","131430112444","Indibiz","300","PT ASI Pudjiastuti A","1666390","Virtual Account"
"19","Pangandaran","Lantai 2 Hotel Harriet","131430112445","Indibiz","300","PT ASI Pudjiastuti A","1666390","Virtual Account"
"20","Pangandaran","Lantai 3 Hotel Harriet","131430112446","Indibiz","300","PT ASI Pudjiastuti A","1666390","Virtual Account"
"21","Pangandaran","Rumah Harriet","131430112447","Indibiz","100","PT ASI Pudjiastuti A","656290","Virtual Account"
"22","Pangandaran","Rumah Ester","131430112468","Indibiz","100","PT ASI Pudjiastuti A","656290","Virtual Account"
"23","Tarakan","Mess Pilot","162501302151","Indihome","","PT ASI Pudjiastuti A","385450","Virtual Account"
"24","Tarakan","Mess EngineerLanud","162503304653","Indihome","10","PT ASI Pudjiastuti A","391000","Virtual Account"
"25","Tarakan","Hanggar","162501212224","Indihome","30","PT ASI Pudjiastuti A","363250","Virtual Account"
"26","Ternate","Mess Pilot","172324802642","Indihome","20","PT ASI Pudjiastuti A","385450","Virtual Account"
