ID,Nama,Induk,Boleh Admin
137,Admin Expat,,
95,All Ops Biak,,
127,Charter,,
170,Data,,
143,Data Analyst,Data,
171,Data Entry,Data,
4,Finance,,
153,Accounting,Finance,
67,Internal Audit,Finance,
148,MT Revenue,Finance,
85,TAX,Finance,
61,Treasury,Finance,
3,HR,,
79,HR Expat,HR,
73,HR Maintenance,HR,
106,HR Trainer,HR,
116,Intern,,
1,IT,,Ya
134,IT Back-End,IT,
82,IT Fullstack,IT,
68,IT Support,IT,
58,KSP,,
75,Legal,,
154,Maintenance,,
160,Chief Inspector,Maintenance,
166,Chief PPC,Maintenance,
159,Logistic,Maintenance,
162,Maintenance Sentani,Maintenance,
163,Maintenance Tarakan,Maintenance,
165,PC MX Padang,Maintenance,
158,Receiving Inspector,Maintenance,
2,Management,,Ya
55,Corp Secretary,Management,
51,Director,Management,
52,Manager Finance,Management,
59,Manager GA,Management,
53,Manager Household,Management,
77,Manager Operations,Management,
119,Manager Training,Management,
50,Managing Director,Management,
147,Marine,,
5,Marketing,,
70,Media,,
84,MT Finance,,
126,MT General,,
129,MT HR,,
111,MT Legal,,
112,MT Veterinarian,,
6,Operations,,
21,Base Banjarmasin,Operations,
98,BC Banjarmasin,Operations > Base Banjarmasin,
97,Ticketing Banjarmasin,Operations > Base Banjarmasin,
22,Unit Palangkaraya,Operations > Base Banjarmasin,
101,GC Palangkaraya,Operations > Base Banjarmasin > Unit Palangkaraya,
15,Base Dabo,Operations,
145,Admin Dabo,Operations > Base Dabo,
118,BC Dabo,Operations > Base Dabo,
16,Unit Batam,Operations > Base Dabo,
91,All Ops Batam,Operations > Base Dabo > Unit Batam,
141,Unit Tanjung Pinang,Operations > Base Dabo,
142,All Ops Tanjung Pinang,Operations > Base Dabo > Unit Tanjung Pinang,
17,Base Halim,Operations,
18,Unit Bandung,Operations > Base Halim,
115,All Ops Bandung,Operations > Base Halim > Unit Bandung,
8,Base Jakarta,Operations,
76,Admin Halim Jakarta,Operations > Base Jakarta,
30,Base Kupang,Operations,
63,Admin Kupang,Operations > Base Kupang,
62,BC Kupang,Operations > Base Kupang,
31,Unit Rote,Operations > Base Kupang,
78,All Ops Rote,Operations > Base Kupang > Unit Rote,
32,Unit Sabu,Operations > Base Kupang,
92,All Ops Sabu,Operations > Base Kupang > Unit Sabu,
33,Unit Waingapu,Operations > Base Kupang,
117,All Ops Waingapu,Operations > Base Kupang > Unit Waingapu,
49,Base Malinau,Operations,
136,Admin Malinau,Operations > Base Malinau,
139,BC Malinau,Operations > Base Malinau,
140,Ticketing Malinau,Operations > Base Malinau,
47,Base Manado,Operations,
123,Admin Manado,Operations > Base Manado,
124,BC Manado,Operations > Base Manado,
48,Unit Gorontalo,Operations > Base Manado,
120,All Ops Gorontalo,Operations > Base Manado > Unit Gorontalo,
35,Base Manokwari,Operations,
146,Admin Manokwari,Operations > Base Manokwari,
64,BC Manokwari,Operations > Base Manokwari,
121,Ticketing Manokwari,Operations > Base Manokwari,
37,Unit Biak,Operations > Base Manokwari,
36,Unit Bintuni,Operations > Base Manokwari,
94,All Ops Bintuni,Operations > Base Manokwari > Unit Bintuni,
27,Base Masamba,Operations,
83,Admin Masamba,Operations > Base Masamba,
110,BC Masamba,Operations > Base Masamba,
28,Unit Rampi,Operations > Base Masamba,
42,Base Medan,Operations,
113,Admin Medan,Operations > Base Medan,
150,BC Medan,Operations > Base Medan,
